5355,0,7607,12,0,12,0.0,FF
762,0,1704,7,0,4,75.0,SPT
282,0,1220,93,0,93,79.57,RWH
3885,0,10396,11,0,11,81.82,FR
3600,0,2221,65,0,53,60.38,SPT
4637,0,12347,11,3041,11,0.0,PF
279,0,1209,93,0,93,79.79,SPT
3588,0,2406,27,0,15,86.67,RWH
727,0,1318,85,0,84,65.48,RWH
3982,0,10523,11,0,11,81.82,FR
7763,0,1033,3027,3026,1,0.0,RWH
270,0,1170,90,0,90,70.0,RWH
1199,0,1845,9,0,5,60.0,SPT
3845,0,2436,29,0,16,81.25,RWH
4587,0,12163,12,2995,12,0.0,PF
283,0,1196,90,0,90,60.0,SPT
7729,0,1021,3024,3022,0,0.0,RWH
1690,0,1634,81,0,76,69.74,SPT
0,0,1536,0,0,0,0.0,SPT
1187,0,3106,51,3,45,62.22,SPT
276,0,1197,90,0,90,0.0,RWH
279,0,1209,93,0,93,81.91,SPT
1090,0,3449,21,2,16,100.0,RWH
289,0,1227,94,1,93,71.74,SPT
0,0,1568,0,0,0,0.0,SPT
5332,0,7634,12,0,12,0.0,FF
3832,0,10305,12,0,12,83.33,FR
283,0,1202,92,1,91,76.92,SPT
5348,0,8028,12,3013,12,0.0,FF
968,0,1385,83,0,81,67.9,SPT
6978,0,7953,0,0,0,0.0,ST
5234,0,2801,92,0,92,0.0,RWH
5338,0,7645,0,0,0,0.0,FF
288,0,1223,93,0,93,79.57,SPT
6946,0,7964,0,0,0,0.0,SPEC
270,0,1170,90,0,90,68.89,SPT
270,0,1170,90,0,90,78.89,RWH
282,0,1222,94,0,94,82.98,RWH
273,0,1182,90,0,90,61.11,RWH
6760,0,8363,0,0,0,0.0,ST
1081,0,3239,18,2,13,100.0,SPT
1175,0,3121,47,3,41,60.98,SPT
5467,0,7790,0,0,0,0.0,FF
1084,0,3251,19,2,14,100.0,SPT
4331,0,2566,33,0,18,83.33,SPT
270,0,1170,90,0,90,70.0,RWH
273,0,1183,91,0,91,70.33,RWH
3950,0,2470,31,0,17,88.24,RWH
5645,0,2867,44,0,24,87.5,SPT
3453,0,2346,27,0,15,80.0,SPT
6305,0,3081,48,0,26,92.31,RWH
1487,0,1912,12,0,7,71.43,SPT
6770,0,8196,0,0,0,0.0,SPEC
5389,0,7658,11,3026,11,0.0,FF
7745,0,1037,3016,3016,26,0.0,RWH
282,0,1222,94,0,94,83.16,SPT
276,0,1196,92,0,92,69.57,SPT
2377,0,2127,18,0,10,80.0,RWH
5311,0,8036,11,2974,11,0.0,FF
0,0,1568,0,0,0,0.0,RWH
270,0,1170,90,0,90,71.11,SPT
270,0,1170,90,0,90,68.89,RWH
276,0,1195,92,0,92,71.74,SPT
446,0,1211,87,0,87,62.07,SPT
4028,0,10724,11,0,11,90.91,FR
279,0,1217,94,0,94,81.91,RWH
1141,0,3171,38,2,33,63.64,SPT
7664,0,966,3047,3041,1,0.0,ST
279,0,1209,93,0,93,77.42,SPT
273,0,1178,90,0,90,0.0,RWH
5314,0,8036,12,3040,12,0.0,FF
1054,0,3496,10,2,5,100.0,RWH
5503,0,7755,11,0,11,0.0,FF
282,0,1222,94,0,94,80.85,RWH
5347,0,7860,12,0,12,0.0,FF
847,0,1755,7,0,4,75.0,RWH
3979,0,10530,12,0,12,91.67,FR
5350,0,2742,51,0,33,63.64,RWH
2168,0,2081,16,0,9,88.89,SPT
0,0,1568,0,0,0,0.0,RWH
5346,0,7930,0,0,0,0.0,PF
221,0,1979,0,0,0,0.0,RWH
6309,0,3082,48,0,26,92.31,RWH
762,0,1704,7,0,4,50.0,RWH
281,0,1217,94,0,94,82.98,RWH
270,0,1170,90,0,90,71.11,RWH
1242,0,3008,72,2,67,73.13,SPT
1554,0,1591,83,0,78,70.51,RWH
1809,0,1677,79,0,74,68.92,SPT
4094,0,10657,11,0,11,83.33,FR
3992,0,10528,11,0,11,81.82,FR
1359,0,1854,11,0,6,66.67,SPT
1090,0,3245,22,2,17,94.12,SPT
273,0,1183,91,0,91,67.39,RWH
286,0,1215,92,0,92,69.57,SPT
5384,0,7693,0,0,0,0.0,FF
7732,0,1008,3034,3031,0,0.0,SPEC
3993,0,2495,31,0,17,82.35,RWH
4622,0,12197,12,2988,12,0.0,PF
279,0,1209,93,0,93,75.27,RWH
1075,0,3253,16,2,11,100.0,RWH
460,0,1638,3,0,2,50.0,RWH
276,0,1196,92,0,92,66.3,SPT
282,0,1222,94,0,94,79.79,SPT
7746,0,1011,3039,3034,1,0.0,RWH
276,0,1196,92,0,92,67.03,SPT
3849,0,10275,12,0,12,83.33,FR
282,0,1222,94,0,94,82.98,SPT
5311,0,8036,0,0,0,0.0,PF
1113,0,1422,83,0,80,66.25,RWH
3978,0,10529,12,0,12,91.67,FR
6265,0,3058,49,0,27,92.59,RWH
1156,0,3078,43,2,38,56.41,SPT
1240,0,3024,71,2,66,74.24,SPT
5756,0,2905,52,0,32,77.42,RWH
1156,0,3144,90,2,90,0.0,RWH
1186,0,3087,53,2,48,62.5,RWH
961,0,1398,84,0,82,67.07,SPT
1874,0,1680,78,0,73,68.49,SPT
1087,0,3449,20,2,15,100.0,SPT
6144,0,3023,49,0,28,88.89,SPT
243,0,1603,1,0,1,0.0,RWH
6976,0,7954,0,0,0,0.0,ST
4851,0,2686,36,0,20,90.0,RWH
1069,0,3248,15,2,10,100.0,RWH
276,0,1196,92,0,92,69.57,SPT
4026,0,10575,11,0,11,83.33,FR
3776,0,2273,65,0,52,59.62,SPT
0,0,1537,0,0,0,0.0,SPT
1132,0,3390,35,2,30,66.67,SPT
5311,0,8033,11,2995,11,0.0,FF
1389,0,1885,11,0,6,66.67,RWH
1162,0,3086,45,2,40,57.5,RWH
278,0,1201,92,0,92,69.57,RWH
1277,0,2992,81,3,75,77.33,RWH
6779,0,8166,0,0,0,0.0,ST
279,0,1207,93,0,93,80.43,SPT
292,0,1241,94,0,94,82.98,RWH
279,0,1207,93,3049,93,77.42,SPT
6278,0,3063,57,0,26,92.31,SPT
2458,0,1858,75,0,67,65.67,RWH
1051,0,3302,8,2,3,100.0,SPT
6975,0,7953,0,0,0,0.0,ST
5869,0,2947,45,0,25,88.0,SPT
6305,0,3080,48,0,26,92.31,RWH
5070,0,2750,38,0,21,85.71,RWH
270,0,1172,90,0,90,72.22,SPT
2731,0,2171,22,0,12,75.0,SPT
5350,0,7728,0,0,0,0.0,FF
4870,0,2721,90,3052,90,0.0,RWH
491,0,2510,2,1,0,0.0,SPT
1060,0,3293,12,2,7,100.0,SPT
4368,0,2447,92,0,92,0.0,RWH
409,0,1196,87,0,87,62.07,SPT
4113,0,12034,3037,3033,0,0.0,SPEC
276,0,1196,92,0,92,68.48,RWH
4363,0,2444,60,0,45,55.56,RWH
2574,0,1916,73,0,65,64.62,SPT
0,0,1569,0,0,0,0.0,SPT
0,0,1536,0,0,0,0.0,SPT
1231,0,3024,68,2,63,71.43,RWH
0,0,1568,0,0,0,0.0,RWH
5347,0,7942,12,3033,12,0.0,FF
276,0,1190,92,0,92,70.65,RWH
279,0,1209,93,0,93,79.79,RWH
0,0,1536,0,0,0,0.0,RWH
7668,0,995,3019,3013,2,0.0,ST
282,0,1222,94,0,94,83.16,SPT
1109,0,3221,26,2,21,90.48,RWH
1247,0,1854,11,0,6,83.33,SPT
625,0,2778,2,1,0,0.0,SPT
5586,0,2801,48,0,29,75.86,SPT
279,0,1209,93,0,93,79.57,SPT
1258,0,3303,62,2,57,68.42,RWH
269,0,1598,3,0,1,0.0,RWH
3687,0,2234,64,0,52,59.62,RWH
270,0,1170,90,0,90,73.33,RWH
292,0,1238,95,1,94,81.91,SPT
292,0,1241,94,0,94,83.16,RWH
5973,0,2952,48,0,28,82.14,RWH
270,0,1170,90,0,90,72.22,RWH
1692,0,1940,12,0,7,71.43,SPT
1231,0,3023,68,2,63,71.43,RWH
4850,0,2718,90,0,90,0.0,RWH
0,0,1568,0,0,0,0.0,RWH
273,0,1183,88,0,88,0.0,RWH
661,0,2851,2,1,0,0.0,RWH
1132,0,3403,35,2,30,66.67,RWH
